#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
11,Polly Pushy Pants,,0,0,1,1,0,3,0,0,1,0,0,0,0,0,,,6,6,,10,60%
13,Surely Mental,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,6,0%
23,Sintilly,,0,0,0,0,0,2,0,1,0,0,1,1,0,0,,,5,5,,21,24%
124,Ka-Blamazon,,0,0,0,1,0,0,0,0,0,2,0,0,0,0,,,3,3,,16,19%
31,Poptart,,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,,3,3,,14,21%
42,Virginia Slam,,0,0,0,0,0,2,0,0,0,1,0,0,0,0,,,3,3,,14,21%
53,Punch Bug,,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,,3,3,,14,21%
57,Hines,,0,0,0,0,0,1,0,0,0,0,2,0,0,0,,,3,3,,19,16%
64,A-Bomb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,12,0%
121,Jigglewatts,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,3,3,,11,27%
220,Electra Cal,,0,1,0,1,0,2,0,1,0,0,1,0,0,0,,,6,6,,20,30%
329,Elita One,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,1,,22,5%
7,AKA Rogue,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,2,2,,12,17%
90,Acute Angle,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,17,0%
911,Toxic Moxie,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,1,1,,4,25%
