#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
1130,Sass Machine,0,0,9,9,23%,,,,,,,,,,,26,52,-26,,,,,-26,-2.89,-26,-2.89,-2.89,-22.7,-19.3,-3.3,,,-1.48,-1.37,-0.77,1
121,Jigglewatts,0,0,18,18,46%,,,,,,,,,,,58,91,-33,,,,,-33,-1.83,-33,-1.83,-1.83,9.3,19.7,-10.3,,,-0.43,-0.31,0.28,7
14,Sailor Zoom,2,0,3,5,13%,0,0,1,0,0,0,0,0%,0,,9,27,-18,-11,-5.5,,,-7,-2.33,-7,-2.33,-3.6,-39.7,-44.3,4.7,-4.13,,-0.93,-0.81,-1.49,2
18,Stitches,0,0,13,13,33%,,,,,,,,,,,38,70,-32,,,,,-32,-2.46,-32,-2.46,-2.46,-10.7,-1.3,-9.3,,,-1.06,-0.94,-0.35,7
2586,Terror Masseuse,0,0,16,16,41%,,,,,,,,,,,76,93,-17,,,,,-17,-1.06,-17,-1.06,-1.06,27.3,21.7,5.7,,,0.34,0.46,1.05,7
27,Otter Chaos,0,0,4,4,10%,,,,,,,,,,,11,20,-9,,,,,-9,-2.25,-9,-2.25,-2.25,-37.7,-51.3,13.7,,,-0.84,-0.73,-0.14,0
3019,Eowound of Roharm,0,0,4,4,10%,,,,,,,,,,,15,34,-19,,,,,-19,-4.75,-19,-4.75,-4.75,-33.7,-37.3,3.7,,,-3.34,-3.23,-2.64,0
329,Elita One,5,8,11,23,59%,15,3,0,2,2,0,1,50%,8,4,83,117,-34,11,2.2,-36,-4.5,-9,-0.82,-45,-2.37,-1.48,34.3,45.7,-11.3,3.57,-2.38,0.59,-0.85,0.64,6
404,Ginja Ninja,6,8,6,19,49%,21,3.5,0,0,0,1,0,0%,0,,77,103,-26,-49,-8.17,0,0,23,3.83,23,1.64,-1.37,28.3,31.7,-3.3,-6.8,2.12,5.24,3.16,0.75,4
548,Groot Force,2,21,2,23,59%,9,4.5,0,0,0,0,2,,0,,84,127,-43,9,4.5,-44,-2.1,-8,-4,-52,-2.26,-1.87,35.3,55.7,-20.3,5.87,0.02,-2.59,-0.74,0.24,0
671,Ruff Edges,12,0,2,13,33%,42,3.5,3,6,5,1,0,50%,27,4.5,51,72,-21,-14,-1.17,,,-7,-3.5,-7,-3.5,-1.62,2.3,0.7,1.7,0.2,,-2.09,-1.98,0.5,4
777,SMASH,5,1,10,16,41%,21,4.2,1,2,1,0,0,40%,20,10,62,84,-22,10,2,-4,-4,-28,-2.8,-32,-2.91,-1.38,13.3,12.7,0.7,3.37,-1.88,-1.39,-1.39,0.74,6
79,Ellen R.I.Pley,5,0,1,5,13%,10,2,0,2,2,1,0,40%,2,1,17,34,-17,-24,-4.8,,,7,7,7,7,-3.4,-31.7,-37.3,5.7,-3.43,,8.41,8.52,-1.29,0
86,Lil Red Right Hook,0,0,14,14,36%,,,,,,,,,,,70,71,-1,,,,,-1,-0.07,-1,-0.07,-0.07,21.3,-0.3,21.7,,,1.33,1.45,2.04,7
927,Bella NoWay,5,1,7,13,33%,28,5.6,2,3,2,0,0,60%,4,1.33,53,75,-22,0,0,0,0,-22,-3.14,-22,-2.75,-1.69,4.3,3.7,0.7,1.37,2.12,-1.74,-1.23,0.42,5
