#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
1130,Sass Machine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,6,0%
121,Jigglewatts,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,,,3,3,,20,15%
14,Sailor Zoom,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,1,,5,20%
18,Stitches,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,2,2,,16,13%
329,Elita One,,0,1,0,0,0,0,0,2,0,0,0,0,0,0,,,3,3,,22,14%
404,Ginja Ninja,,0,0,0,0,0,1,0,0,0,1,1,0,0,0,,,3,3,,18,17%
43,Rosie The Riveter,,0,0,1,2,0,0,0,0,0,0,0,1,0,0,,,4,4,,13,31%
53,Punch Bug,,0,0,0,0,0,3,0,0,0,0,1,0,0,0,,,4,4,,18,22%
548,Groot Force,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,18,0%
671,Ruff Edges,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,2,2,,11,18%
777,SMASH,,0,0,0,0,0,3,0,1,0,0,0,0,0,0,,,4,4,,18,22%
79,Ellen R.I.Pley,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,2,2,,5,40%
86,Lil Red Right Hook,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,,16,6%
927,Bella NoWay,,0,0,0,0,0,3,0,0,0,0,0,1,0,0,,,4,4,,11,36%
97,Briggie Smalls,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,8,0%
