#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
1130,Sass Machine,0,0,15,15,37%,,,,,,,,,,,56,39,17,,,,,17,1.13,17,1.13,1.13,-9.5,-8.7,-0.7,,,0.63,-0.05,-0.18,2
14,Sailor Zoom,0,3,17,20,49%,,,,,,,,,,,81,72,9,,,-16,-5.33,25,1.47,9,0.45,0.45,15.5,24.3,-8.7,,-4.93,0.97,-0.74,-0.86,6
187,Princess DIE,0,0,18,18,44%,,,,,,,,,,,62,51,11,,,,,11,0.61,11,0.61,0.61,-3.5,3.3,-6.7,,,0.11,-0.58,-0.7,2
27,Otter Chaos,0,0,7,7,17%,,,,,,,,,,,47,39,8,,,,,8,1.14,8,1.14,1.14,-18.5,-8.7,-9.7,,,0.64,-0.04,-0.17,1
3019,Eowound of Roharm,0,0,7,7,17%,,,,,,,,,,,45,35,10,,,,,10,1.43,10,1.43,1.43,-20.5,-12.7,-7.7,,,0.93,0.24,0.12,2
369,Whiskey Kitty,0,0,6,6,15%,,,,,,,,,,,32,16,16,,,,,16,2.67,16,2.67,2.67,-33.5,-31.7,-1.7,,,2.16,1.48,1.36,1
404,Ginja Ninja,10,0,0,10,24%,42,4.2,2,6,3,0,0,60%,15,2.5,42,32,10,10,1,,,,,,,1,-23.5,-15.7,-7.7,-0.51,,,,-0.31,2
548,GrootForce,0,18,2,20,49%,,,,,,,,,,,120,69,51,,,62,3.44,-11,-5.5,51,2.55,2.55,54.5,21.3,33.3,,3.85,-6,1.36,1.24,1
77,Jack Knife,0,0,20,20,49%,,,,,,,,,,,124,62,62,,,,,62,3.1,62,3.1,3.1,58.5,14.3,44.3,,,2.6,1.91,1.79,4
777,SMASH,13,0,0,13,32%,56,4.31,4,6,2,0,0,46%,29,4.83,56,60,-4,-4,-0.31,,,,,,,-0.31,-9.5,12.3,-21.7,-1.81,,,,-1.62,6
79,Ellen R.I.Pley,9,0,0,9,22%,37,4.11,0,4,4,0,0,44%,32,8,37,21,16,16,1.78,,,,,,,1.78,-28.5,-26.7,-1.7,0.27,,,,0.47,2
86,Lil' Red Right Hook,0,15,5,20,49%,,,,,,,,,,,73,79,-6,,,4,0.27,-10,-2,-6,-0.3,-0.3,7.5,31.3,-23.7,,0.67,-2.5,-1.49,-1.61,4
911,Toxic Moxie,0,0,21,21,51%,,,,,,,,,,,109,74,35,,,,,35,1.67,35,1.67,1.67,43.5,26.3,17.3,,,1.16,0.48,0.36,1
927,Bella NoWay,9,2,0,11,27%,63,7,1,7,4,1,0,78%,32,4.57,67,35,32,32,3.56,0,0,,,0,0,2.91,1.5,-12.7,14.3,2.05,0.41,,-1.19,1.6,1
97,Briggie Smalls,0,0,5,5,12%,,,,,,,,,,,31,32,-1,,,,,-1,-0.2,-1,-0.2,-0.2,-34.5,-15.7,-18.7,,,-0.7,-1.39,-1.51,0
