#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
,,,,,,,,,,,,,,,,,,,,,,,
121,Jigglewatts,,0,0,0,0,0,0,0,0,0,1,3,1,0,0,,,5,5,,25,20%
124,KaBlamazon,,0,0,0,0,0,0,0,1,0,1,2,0,0,0,,,4,4,,21,19%
13,Surely Mental,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,,15,7%
18,Stitches,,0,1,0,0,0,2,0,0,0,0,1,0,0,0,,,4,4,,25,16%
220,Electra Cal,,0,0,0,0,0,0,0,2,1,0,1,1,0,0,,,5,5,,31,16%
23,Lacey…,,0,0,0,0,0,2,0,2,2,0,1,0,0,0,,,7,7,,30,23%
31,Poptart,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,3,3,,15,20%
329,Elita One,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,,,3,3,,25,12%
42,Virginia Slam,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,1,,15,7%
43,Rose…,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,2,2,,14,14%
53,Punch Bug,,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,,3,3,,14,21%
,,,,,,,,,,,,,,,,,,,,,,,
64,A-Bomb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,2,0%
,,,,,,,,,,,,,,,,,,,,,,,
7,AKA Rogue,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,2,2,,12,17%
,,,,,,,,,,,,,,,,,,,,,,,
911,Toxic Moxie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
927,Bella No Way,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,0%
