#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
121,Jigglewatts,0,0,21,21,45%,,,,,,,,,,,103,58,45,,,,,45,2.14,45,2.14,2.14,36.9,10.9,26.1,,,1.44,1.37,1.38,6
124,KaBlamazon,0,0,22,22,47%,,,,,,,,,,,66,55,11,,,,,11,0.5,11,0.5,0.5,-0.1,7.9,-7.9,,,-0.2,-0.27,-0.26,3
13,Surely Mental,0,1,18,19,40%,,,,,,,,,,,90,50,40,,,8,8,32,1.78,40,2.11,2.11,23.9,2.9,21.1,,4.82,1.08,1.33,1.34,2
18,Stitches,0,0,23,23,49%,,,,,,,,,,,86,53,33,,,,,33,1.43,33,1.43,1.43,19.9,5.9,14.1,,,0.73,0.66,0.67,3
220,Electra Cal,0,24,5,29,62%,,,,,,,,,,,128,80,48,,,67,2.79,-19,-3.8,48,1.66,1.66,61.9,32.9,29.1,,-0.39,-4.5,0.88,0.89,4
23,Lacey…,0,19,7,26,55%,,,,,,,,,,,105,99,6,,,-33,-1.74,39,5.57,6,0.23,0.23,38.9,51.9,-12.9,,-4.92,4.87,-0.54,-0.53,7
31,Poptart,14,0,0,14,30%,58,4.14,2,8,7,0,0,57%,47,5.88,58,41,17,17,1.21,,,,,,,1.21,-8.1,-6.1,-1.9,0.48,,,,0.45,2
329,Elita One,0,3,25,28,60%,,,,,,,,,,,101,61,40,,,11,3.67,29,1.16,40,1.43,1.43,34.9,13.9,21.1,,0.49,0.46,0.66,0.67,3
42,Virginia Slam,0,0,8,8,17%,,,,,,,,,,,29,31,-2,,,,,-2,-0.25,-2,-0.25,-0.25,-37.1,-16.1,-20.9,,,-0.95,-1.02,-1.01,1
43,Rose…,12,0,0,12,26%,57,4.75,1,9,8,1,0,75%,42,4.67,57,34,23,23,1.92,,,,,,,1.92,-9.1,-13.1,4.1,1.18,,,,1.16,1
53,Punch Bug,13,0,0,13,28%,65,5,2,8,6,2,0,62%,63,7.88,65,27,38,38,2.92,,,,,,,2.92,-1.1,-20.1,19.1,2.19,,,,2.16,3
64,A-Bomb,0,0,5,5,11%,,,,,,,,,,,12,16,-4,,,,,-4,-0.8,-4,-0.8,-0.8,-54.1,-31.1,-22.9,,,-1.5,-1.57,-1.56,0
671,Ruff Edges,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AKA Rogue,8,0,0,8,17%,5,0.63,0,2,2,0,0,25%,5,2.5,5,30,-25,-25,-3.13,,,,,,,-3.13,-61.1,-17.1,-43.9,-3.86,,,,-3.89,1
927,Bella No Way,0,0,7,7,15%,,,,,,,,,,,20,25,-5,,,,,-5,-0.71,-5,-0.71,-0.71,-46.1,-22.1,-23.9,,,-1.42,-1.49,-1.48,4
