#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
,,,,,,,,,,,,,,,,,,,,,,,
121,Jigglewatts,,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,3,3,,22,14%
124,KaBlamazon,,0,0,0,1,0,1,0,0,1,0,2,0,0,0,,,5,5,,20,25%
13,Surely Mental,,0,0,2,0,0,0,0,0,0,0,1,0,0,0,,,3,3,,24,13%
18,Stitches,,0,0,1,0,0,0,0,1,0,0,1,0,0,0,,,3,3,,25,12%
220,Electra Cal,,0,0,1,1,0,1,0,1,0,0,0,1,0,0,,,5,5,,31,16%
,,,,,,,,,,,,,,,,,,,,,,,
31,Poptart,,1,0,0,2,0,3,0,0,1,0,0,0,0,0,,,7,7,,20,35%
329,Elita One,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,28,0%
42,Virginia Slam,,0,1,0,0,0,1,0,0,0,0,1,0,0,0,,,3,3,,14,21%
43,Rose…,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,13,0%
53,Punch Bug,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,2,2,,13,15%
,,,,,,,,,,,,,,,,,,,,,,,
64,A-Bomb,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,1,,8,13%
671,Ruff Edges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,5,0%
7,AKA Rogue,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,2,2,,10,20%
777,SMASH,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,,2,50%
,,,,,,,,,,,,,,,,,,,,,,,
927,Bella No Way,,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,,3,3,,15,20%
