#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
121,Jigglewatts,,0,0,1,0,0,0,0,0,0,1,1,1,0,0,,,4,4,,24,17%
124,Ka-Blamazon,,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,,3,3,,21,14%
13,Surley Mental,,1,0,1,0,0,1,0,0,0,0,1,1,0,0,,,5,5,,13,38%
18,Stitches,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,1,,20,5%
220,Electra Cal,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,,24,4%
329,Elita One,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,2,2,,22,9%
42,Virginia Slam,,0,0,0,0,0,0,0,1,0,2,1,0,0,0,,,4,4,,21,19%
53,Punch Bug,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,2,2,,14,14%
57,Hines,,1,0,1,0,0,0,0,1,0,3,0,0,0,0,,,6,6,,16,38%
671,Ruff Edges,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,,5,20%
777,Smash,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,,3,33%
7,AKA Rogue,,0,1,1,0,0,0,0,0,0,0,0,2,0,0,,,4,4,,14,29%
911,Toxic Moxie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
927,Bella NoWay,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,2,2,,13,15%
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
