#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
121,Jigglewatts,0,7,16,23,55%,,,,,,,,,,,57,209,-152,,,-48,-6.86,-104,-6.5,-152,-6.61,-6.61,9.1,87.4,-78.3,,-0.55,-2.24,-2.28,-0.9,2
124,Ka-Blamazon,0,0,19,19,45%,,,,,,,,,,,64,145,-81,,,,,-81,-4.26,-81,-4.26,-4.26,16.1,23.4,-7.3,,,0,0.06,1.45,6
18,Stitches,0,0,18,18,43%,,,,,,,,,,,70,154,-84,,,,,-84,-4.67,-84,-4.67,-4.67,22.1,32.4,-10.3,,,-0.41,-0.34,1.05,0
220,Electra Cal,4,6,16,21,50%,0,0,0,0,0,1,3,0%,0,,83,179,-96,-13,-3.25,-78,-13,-5,-0.31,-83,-3.77,-4.57,35.1,57.4,-22.3,2.21,-6.69,3.95,0.55,1.14,3
23,Sintilly,2,14,7,21,50%,8,4,0,0,0,0,1,0%,0,,65,189,-124,-6,-3,-66,-4.71,-52,-7.43,-118,-5.62,-5.9,17.1,67.4,-50.3,2.46,1.59,-3.17,-1.29,-0.19,8
329,Elita One,9,2,4,14,33%,34,3.78,1,3,2,0,1,38%,-8,-2.67,42,114,-72,-13,-1.44,-11,-5.5,-48,-12,-59,-9.83,-5.14,-5.9,-7.6,1.7,4.01,0.81,-7.74,-5.51,0.57,4
42,Virginia Slam,0,0,18,18,43%,,,,,,,,,,,40,142,-102,,,,,-102,-5.67,-102,-5.67,-5.67,-7.9,20.4,-28.3,,,-1.41,-1.34,0.05,2
43,Rosie the Riveter,13,0,1,13,31%,31,2.38,2,5,4,1,0,38%,14,2.8,35,57,-22,-26,-2,,,4,4,4,4,-1.69,-12.9,-64.6,51.7,3.46,,8.26,8.33,4.02,4
53,Punch Bug,7,13,2,19,45%,14,2,0,0,0,2,2,0%,0,,69,161,-92,-73,-10.43,-19,-1.46,0,0,-19,-1.27,-4.84,21.1,39.4,-18.3,-4.97,4.85,4.26,3.06,0.87,5
57,Hines,0,0,22,22,52%,,,,,,,,,,,60,166,-106,,,,,-106,-4.82,-106,-4.82,-4.82,12.1,44.4,-32.3,,,-0.56,-0.49,0.89,4
671,Ruff Edges,2,0,0,2,5%,8,4,1,1,0,0,0,50%,-16,-16,8,36,-28,-28,-14,,,,,,,-14,-39.9,-85.6,45.7,-8.54,,,,-8.29,1
7,AKA Rogue,12,0,2,12,29%,39,3.25,3,6,5,1,0,50%,6,1,39,88,-49,-49,-4.08,,,0,0,0,0,-4.08,-8.9,-33.6,24.7,1.37,,4.26,4.33,1.63,6
777,SMASH,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Toxic Moxie,0,0,1,1,2%,,,,,,,,,,,0,12,-12,,,,,-12,-12,-12,-12,-12,-47.9,-109.6,61.7,,,-7.74,-7.67,-6.29,0
927,Bella No Way,0,0,7,7,17%,,,,,,,,,,,38,50,-12,,,,,-12,-1.71,-12,-1.71,-1.71,-9.9,-71.6,61.7,,,2.54,2.61,4,0
