#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
14,Sailor Zoom,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,,10,10%
27,Otter Chaos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,12,0%
3019,Éowound of Roharm,,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,,3,3,,12,25%
454,Scream,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,2,0%
548,GrootForce,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,21,0%
64,A-Bomb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,21,0%
671,Ruff Edges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,11,0%
762,Killer Miller,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,1,,12,8%
77,Jack Knife,,0,0,0,0,0,1,0,0,0,1,2,0,0,0,,,4,4,,23,17%
777,SMASH,,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,,4,4,,17,24%
79,Ellen R.I.P.ley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,7,0%
815,FormaldeHeidi,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,1,,11,9%
86,Lil' Red Right Hook,,0,2,0,0,0,1,0,1,0,0,0,0,0,0,,,4,4,,21,19%
97,Briggie Smalls,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,1,,14,7%
911,Toxic Moxie,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,3,3,,16,19%
