#,JAMMER,PIVOT,BLOCKER,POINTS,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,PTS  FOR,PTS AGAINST,JAMMER +/-,PIVOT +/-,BLOCK +/-,SKATERS PENALTY COUNT
7,130,0,5,398,10,66,57,4,0,406,403,5,0,-2,25
11,0,0,10,0,0,0,0,0,0,46,27,0,0,19,6
13,14,17,57,26,0,2,1,1,0,304,316,-86,56,18,11
14,36,10,26,61,5,10,6,4,0,181,308,-90,-52,15,16
18,0,0,250,0,0,0,0,0,0,1061,809,0,0,252,31
23,3,108,105,8,0,0,0,0,2,889,722,-6,90,83,48
27,0,0,27,0,0,0,0,0,0,94,139,0,0,-45,1
31,69,14,7,291,8,42,34,0,0,373,243,115,9,6,23
42,0,0,160,0,0,0,0,0,0,517,688,0,0,-171,27
43,130,1,1,740,7,77,65,4,0,744,329,413,-2,4,19
48,0,0,10,0,0,0,0,0,0,36,52,0,0,-16,4
53,145,31,6,568,15,82,67,9,2,735,587,78,70,0,36
57,0,1,144,0,0,0,0,0,0,581,483,0,3,95,25
64,0,11,74,0,0,0,0,0,0,277,285,0,16,-24,10
77,3,26,66,1,0,0,0,0,3,314,393,1,-15,-65,17
79,56,0,3,154,4,24,19,4,0,168,242,-88,0,14,11
86,9,35,86,9,0,2,2,0,3,459,479,-7,-49,36,27
90,0,1,16,0,0,0,0,0,0,108,43,0,2,63,0
97,0,0,62,0,0,0,0,0,0,174,307,0,0,-133,4
121,3,102,189,4,0,0,0,0,3,1120,1136,-4,-107,95,50
124,0,1,229,0,0,0,0,0,0,926,751,0,16,159,42
187,0,0,51,0,0,0,0,0,0,154,141,0,0,13,6
220,10,223,70,4,0,0,0,2,8,1172,931,-27,306,-38,41
329,23,59,253,72,1,7,6,0,7,1336,1046,17,-32,305,39
369,0,0,24,0,0,0,0,0,0,92,58,0,0,34,2
404,22,16,30,84,2,6,3,2,0,303,263,-88,0,128,13
454,0,0,2,0,0,0,0,0,0,3,19,0,0,-16,0
548,7,115,39,30,0,0,0,0,7,592,686,22,-184,68,4
671,80,13,8,299,13,38,29,5,0,362,421,-33,-7,-19,19
762,0,0,16,0,0,0,0,0,0,38,72,0,0,-34,1
777,40,2,76,137,10,17,9,0,1,420,499,-58,-8,-13,37
815,0,0,21,0,0,0,0,0,0,42,121,0,0,-79,1
911,0,1,86,0,0,0,0,0,0,309,400,0,-4,-87,13
927,29,5,119,143,8,19,12,3,0,560,574,43,4,-61,34
1130,0,0,39,0,0,0,0,0,0,139,143,0,0,-4,4
2586,0,0,32,0,0,0,0,0,0,152,186,0,0,-34,14
3019,27,4,21,43,1,13,12,5,0,128,224,-46,-2,-48,6
