,,,,,,,,,,,,,,,,,,,,,,,V.T.A.R.,,,,,,,,,,,,,,,
,,C6,,,,,,,,,,,U6,,,,,,,,,,Alls Avg PTS FOR,Alls Avg PTS AGAINST,Brawls Avg PTS FOR,Brawls Avg PTS AGAINST,Alls Jammer Avg,Alls Pivot Avg,Alls Blocker Avg,Brawls Jammer Avg,Brawls Pivot Avg,Brawls Blocker Avg,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-
#,Team,JAMMER (# of Jams),PIVOT (# of Jams),BLOCKER (# of Jams),POINTS,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,PTS  FOR,PTS AGAINST,JAMMER +/-,PIVOT +/-,BLOCK +/-,SKATERS PENALTY COUNT,,PPJ,Lead Pct,Played as All,Played as Brawl,Total Games Played,514.75,380.45,137.6,156.2666667,1.27,1.23,0.99,-2.26,-1.24,0.12,,,,,,
7,All,103,0,2,344,9,52,44,3,0,344,308,36,0,0,20,,3.34,50%,9,0,9,Number of individuals in position:,,,,11,14,20,7,5,16,-170.75,-72.45,-98.3,-0.92,,-0.99
11,All,0,0,10,0,0,0,0,0,0,46,27,0,0,19,6,,,,1,0,1,,,,,,,,,,,-468.75,-353.45,-115.3,,,0.91
13,All,4,17,53,0,0,0,0,0,0,270,173,-14,56,55,6,,0.00,0%,6,0,6,,,,,,,,,,,-244.75,-207.45,-37.3,-4.77,2.06,0.05
18,All,0,0,207,0,0,0,0,0,0,945,614,0,0,331,30,,,,8,3,11,,,,,,,,,,,430.25,233.55,196.7,,,0.61
23,All,3,106,89,8,0,0,0,0,2,809,649,-6,84,82,42,,2.67,0%,8,0,8,,,,,,,,,,,294.25,268.55,25.7,-3.27,-0.44,-0.07
31,All,69,14,7,291,8,42,34,0,0,373,243,115,9,6,23,,4.22,61%,6,0,6,,,,,,,,,,,-141.75,-137.45,-4.3,0.40,-0.59,-0.13
42,All,0,0,122,0,0,0,0,0,0,423,441,0,0,-18,20,,,,9,0,9,,,,,,,,,,,-91.75,60.55,-152.3,,,-1.14
43,All,114,1,1,674,6,70,59,4,0,678,259,417,-2,4,14,,5.91,61%,8,1,9,,,,,,,,,,,163.25,-121.45,284.7,2.39,-3.23,3.01
53,All,116,31,6,460,14,68,56,9,2,627,441,116,70,0,33,,3.97,59%,9,1,10,,,,,,,,,,,112.25,60.55,51.7,-0.27,1.03,-0.99
