,#,JAMMER,PIVOT,BLOCKER,POINTS,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,PTS  FOR,PTS AGAINST,JAMMER +/-,PIVOT +/-,BLOCK +/-,SKATERS PENALTY COUNT
0,7,103,0,2,344,9,52,44,3,0,344,308,36,0,0,20
1,11,0,0,10,0,0,0,0,0,0,46,27,0,0,19,6
2,13,4,17,53,0,0,0,0,0,0,270,173,-14,56,55,6
3,14,18,3,25,33,2,4,3,4,0,134,186,-47,-16,11,12
4,18,0,0,207,0,0,0,0,0,0,945,614,0,0,331,30
5,23,3,106,89,8,0,0,0,0,2,809,649,-6,84,82,42
6,27,0,0,27,0,0,0,0,0,0,94,139,0,0,-45,1
7,31,69,14,7,291,8,42,34,0,0,373,243,115,9,6,23
8,42,0,0,122,0,0,0,0,0,0,423,441,0,0,-18,20
9,43,114,1,1,674,6,70,59,4,0,678,259,417,-2,4,14
10,53,116,31,6,460,14,68,56,9,2,627,441,116,70,0,33
11,57,0,1,128,0,0,0,0,0,0,553,395,0,3,155,19
12,64,0,3,54,0,0,0,0,0,0,183,177,0,-4,10,3
13,77,3,6,37,1,0,0,0,0,3,182,212,1,-53,22,8
14,79,31,0,3,77,1,11,10,4,0,91,138,-61,0,14,4
15,86,3,34,51,2,0,0,0,0,3,356,363,2,-51,42,23
16,90,0,1,16,0,0,0,0,0,0,108,43,0,2,63,0
17,97,0,0,27,0,0,0,0,0,0,84,116,0,0,-32,1
18,121,0,61,185,0,0,0,0,0,0,974,850,0,26,98,44
19,124,0,1,181,0,0,0,0,0,0,784,477,0,16,291,33
20,187,0,0,18,0,0,0,0,0,0,62,51,0,0,11,2
21,220,9,183,61,4,0,0,0,2,7,1024,667,-13,340,30,37
22,329,23,55,210,72,1,7,6,0,7,1196,833,17,-2,348,33
23,369,0,0,6,0,0,0,0,0,0,32,16,0,0,16,1
24,404,22,16,30,84,2,6,3,2,0,303,263,-88,0,128,13
25,454,0,0,2,0,0,0,0,0,0,3,19,0,0,-16,0
26,548,6,74,31,18,0,0,0,0,6,440,418,18,-45,49,1
27,671,57,0,6,227,10,29,22,3,0,258,263,6,0,-11,14
28,762,0,0,12,0,0,0,0,0,0,15,54,0,0,-39,1
29,777,26,2,55,99,8,10,4,0,0,332,337,-15,-8,18,27
30,815,0,0,11,0,0,0,0,0,0,25,67,0,0,-42,1
31,911,0,0,44,0,0,0,0,0,0,174,212,0,0,-38,5
32,927,29,4,62,143,8,19,12,3,0,404,322,43,0,39,24
33,1130,0,0,39,0,0,0,0,0,0,139,143,0,0,-4,4
34,2586,0,0,32,0,0,0,0,0,0,152,186,0,0,-34,14
35,3019,11,0,16,11,1,5,4,5,0,86,159,-37,0,-36,5
