ALLS,JAMMER,PIVOT,BLOCKER,PENALTIES,,,BRAWLS,JAMMER,PIVOT,BLOCKER,PENALTIES
90,,0.77,2.95,0,,,454,,,-8.988659106,0
64,,-2.56,-0.80,3,,,369,,,1.678007561,1
911,,,-1.85,5,,,548,1.730560579,-1.837274775,0.591986055,1
13,-4.77,2.06,0.05,6,,,97,,,-2.173844291,1
11,,,0.91,6,,,27,,,-2.655325773,1
671,-1.16,,-2.82,14,,,762,,,-4.238659106,1
43,2.39,-3.23,3.01,14,,,815,,,-4.806840924,1
57,,1.77,0.22,19,,,187,,,-0.377547995,2
42,,,-1.14,20,,,79,-3.237181357,,3.678007561,4
7,-0.92,,-0.99,20,,,1130,,,-1.091223209,4
31,0.40,-0.59,-0.13,23,,,3019,-4.633075785,,-3.238659106,5
927,0.21,-1.23,-0.36,24,,,77,-0.936106088,-10.0625,-0.394064511,8
777,-1.85,-5.23,-0.66,27,,,14,-3.880550532,-6.5625,-0.548659106,12
18,,,0.61,30,,,404,-5.269439421,-1.229166667,3.278007561,13
329,-0.53,-1.27,0.67,33,,,2586,,,-2.051159106,14
124,,14.77,0.62,33,,,86,-0.602772755,-2.729166667,-0.165129694,23
53,-0.27,1.03,-0.99,33,,,,,,,
220,-2.71,0.63,-0.50,37,,,1st,548,404,79,
23,-3.27,-0.44,-0.07,42,,,2nd,86,548,404,
121,,-0.80,-0.46,44,,,3rd,77,86,369,
,,,,,,,,,,,
1st,43,124,43,90,,,,,,,
2nd,31,13,90,3,,,,,,,
3rd,927,57,11,5,,,,,,,
