,#,Unnamed: 2,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,Unnamed: 17,Unnamed: 18,TOTAL ,Penalty Count,Expulsion,Jams Skated
0,7.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,24.0,24.0,0.0,117.0
1,11.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,10.0
2,13.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,87.0
3,14.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,56.0
4,18.0,0.0,1.0,3.0,3.0,1.0,0.0,4.0,0.0,8.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,234.0
5,23.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,8.0,3.0,8.0,7.0,2.0,1.0,1.0,0.0,0.0,42.0,42.0,0.0,195.0
6,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0
7,31.0,0.0,1.0,1.0,0.0,2.0,0.0,8.0,0.0,2.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,90.0
8,42.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,3.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,143.0
9,43.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,18.0,18.0,0.0,131.0
10,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,10.0
11,53.0,0.0,1.0,1.0,5.0,1.0,0.0,8.0,0.0,2.0,3.0,3.0,2.0,15.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,182.0
12,57.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,145.0
13,64.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,57.0
14,77.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,68.0
15,79.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,38.0
16,86.0,0.0,1.0,3.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,106.0
17,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
18,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,44.0
19,121.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,6.0,2.0,14.0,11.0,5.0,0.0,1.0,0.0,0.0,45.0,45.0,0.0,276.0
20,124.0,0.0,0.0,3.0,1.0,2.0,0.0,7.0,0.0,7.0,3.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,203.0
21,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,27.0
22,220.0,0.0,0.0,2.0,3.0,5.0,0.0,9.0,0.0,6.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,268.0
23,329.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,8.0,2.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,304.0
24,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0
25,404.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,68.0
26,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
27,548.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,129.0
28,671.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,87.0
29,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0
30,777.0,0.0,1.0,4.0,4.0,0.0,1.0,4.0,0.0,3.0,1.0,5.0,2.0,8.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,107.0
31,815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0
32,911.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,70.0
33,927.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,133.0
34,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,30.0
35,2586.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,16.0
36,3019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,36.0
