,#,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,TOTAL ,Penalty Count,Expulsion,Jams Skated
0,7.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,20.0,20.0,0.0,103.0
1,11.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,10.0
2,13.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,74.0
3,14.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,40.0
4,18.0,1.0,3.0,3.0,1.0,0.0,4.0,0.0,7.0,1.0,3.0,6.0,1.0,0.0,0.0,30.0,30.0,0.0,214.0
5,23.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,8.0,3.0,8.0,7.0,2.0,1.0,1.0,42.0,42.0,0.0,195.0
6,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0
7,31.0,1.0,1.0,0.0,2.0,0.0,8.0,0.0,2.0,1.0,0.0,1.0,7.0,0.0,0.0,23.0,23.0,0.0,90.0
8,42.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,20.0,20.0,0.0,122.0
9,43.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,18.0,18.0,0.0,131.0
10,53.0,1.0,1.0,5.0,1.0,0.0,8.0,0.0,2.0,2.0,3.0,2.0,14.0,0.0,0.0,39.0,39.0,0.0,168.0
11,57.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,19.0,19.0,0.0,129.0
12,64.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,57.0
13,77.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,8.0,8.0,0.0,43.0
14,79.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,26.0
15,86.0,1.0,3.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,20.0,20.0,0.0,86.0
16,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
17,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,27.0
18,121.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,2.0,13.0,10.0,4.0,0.0,1.0,41.0,41.0,0.0,252.0
19,124.0,0.0,3.0,1.0,2.0,0.0,7.0,0.0,6.0,3.0,5.0,5.0,1.0,0.0,0.0,33.0,33.0,0.0,182.0
20,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,18.0
21,220.0,0.0,2.0,3.0,5.0,0.0,9.0,0.0,6.0,2.0,3.0,4.0,3.0,0.0,0.0,37.0,37.0,0.0,244.0
22,329.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,8.0,2.0,4.0,8.0,3.0,0.0,0.0,33.0,33.0,0.0,282.0
23,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0
24,404.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,11.0,11.0,0.0,68.0
25,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
26,548.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,106.0
27,671.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,12.0,12.0,0.0,63.0
28,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0
29,777.0,1.0,4.0,3.0,0.0,1.0,4.0,0.0,3.0,1.0,4.0,1.0,4.0,0.0,0.0,26.0,26.0,0.0,91.0
30,815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0
31,911.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,44.0
32,927.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,6.0,2.0,5.0,0.0,0.0,23.0,23.0,0.0,94.0
33,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,30.0
34,2586.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,7.0,7.0,0.0,16.0
35,3019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,23.0
