,#,Skater,Team,Game Date
0,1130,Sass Machine,Brawls,030319
1,121,Jigglewatts,Brawls,030319
2,14,Sailor Zoom,Brawls,030319
3,18,Stitches,Brawls,030319
4,2586,Terror Masseuse,Brawls,030319
5,27,Otter Chaos,Brawls,030319
6,3019,Eowound of Roharm,Brawls,030319
7,329,Elita One,Brawls,030319
8,404,Ginja Ninja,Brawls,030319
9,548,Groot Force,Brawls,030319
10,671,Ruff Edges,Brawls,030319
11,777,SMASH,Brawls,030319
12,79,Ellen R.I.Pley,Brawls,030319
13,86,Lil Red Right Hook,Brawls,030319
14,927,Bella NoWay,Brawls,030319
0,1130,Sass Machine,Brawls,030319
1,121,Jigglewatts,Brawls,030319
2,14,Sailor Zoom,Brawls,030319
3,18,Stitches,Brawls,030319
4,329,Elita One,Brawls,030319
5,404,Ginja Ninja,Brawls,030319
6,43,Rosie The Riveter,Brawls,030319
7,53,Punch Bug,Brawls,030319
8,548,Groot Force,Brawls,030319
9,671,Ruff Edges,Brawls,030319
10,777,SMASH,Brawls,030319
11,79,Ellen R.I.Pley,Brawls,030319
12,86,Lil Red Right Hook,Brawls,030319
13,927,Bella NoWay,Brawls,030319
14,97,Briggie Smalls,Brawls,030319
0,1130,Sass Machine,Brawls,030319
1,121,Jigglewatts,Brawls,030319
2,14,Sailor Zoom,Brawls,030319
3,18,Stitches,Brawls,030319
4,2586,Terror Masseuse,Brawls,030319
5,27,Otter Chaos,Brawls,030319
6,3019,Eowound of Roharm,Brawls,030319
7,329,Elita One,Brawls,030319
8,404,Ginja Ninja,Brawls,030319
9,548,Groot Force,Brawls,030319
10,671,Ruff Edges,Brawls,030319
11,777,SMASH,Brawls,030319
12,79,Ellen R.I.Pley,Brawls,030319
13,86,Lil Red Right Hook,Brawls,030319
14,927,Bella NoWay,Brawls,030319
0,1130,Sass Machine,Brawls,030919
1,14,Sailor Zoom,Brawls,030919
2,187,Princess DIE,Brawls,030919
3,27,Otter Chaos,Brawls,030919
4,3019,Eowound of Roharm,Brawls,030919
5,369,Whiskey Kitty,Brawls,030919
6,404,Ginja Ninja,Brawls,030919
7,548,GrootForce,Brawls,030919
8,77,Jack Knife,Brawls,030919
9,777,SMASH,Brawls,030919
10,79,Ellen R.I.Pley,Brawls,030919
11,86,Lil' Red Right Hook,Brawls,030919
12,911,Toxic Moxie,Brawls,030919
13,927,Bella NoWay,Brawls,030919
14,97,Briggie Smalls,Brawls,030919
0,14,Sailor Zoom,Brawls,071319
1,27,Otter Chaos,Brawls,071319
2,3019,Éowound of Roharm,Brawls,071319
3,454,Scream,Brawls,071319
4,548,GrootForce,Brawls,071319
5,64,A-Bomb,Brawls,071319
6,671,Ruff Edges,Brawls,071319
7,762,Killer Miller,Brawls,071319
8,77,Jack Knife,Brawls,071319
9,777,SMASH,Brawls,071319
10,79,Ellen R.I.P.ley,Brawls,071319
11,815,FormaldeHeidi,Brawls,071319
12,86,Lil' Red Right Hook,Brawls,071319
13,97,Briggie Smalls,Brawls,071319
14,911,Toxic Moxie,Brawls,071319
