#,Team,JAMMER (# of Jams),PIVOT (# of Jams),BLOCKER (# of Jams),Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,Penalty Count,Expulsion,Jams Skated
7,All,116,0,5,0,1,2,1,0,2,0,0,1,0,0,16,1,0,24,0,121
11,All,0,0,10,0,0,1,1,0,3,0,0,1,0,0,0,0,0,6,0,10
13,All,14,17,57,1,0,3,0,0,3,0,0,0,1,2,1,0,0,11,0,88
18,All,0,0,227,1,3,3,1,0,4,0,8,1,3,6,1,0,0,31,0,227
23,All,3,106,89,0,0,1,1,0,10,0,8,3,8,7,2,1,1,42,0,198
31,All,69,14,7,1,1,0,2,0,8,0,2,1,0,1,7,0,0,23,0,90
42,All,0,0,143,0,1,1,0,0,8,0,3,0,5,3,3,0,0,24,0,143
43,All,114,1,1,0,0,2,5,1,1,0,1,1,0,0,6,1,0,18,0,116
53,All,130,31,6,1,1,5,1,0,8,0,2,3,3,2,15,0,0,41,0,167
57,All,0,1,144,1,1,1,0,0,7,0,1,0,11,3,0,0,0,25,0,145
64,All,0,3,54,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,57
90,All,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
121,All,3,84,186,1,1,1,1,0,2,0,6,2,14,11,5,0,1,45,0,273
124,All,0,1,202,0,3,1,2,0,7,0,7,3,6,5,2,0,0,36,0,203
220,All,10,198,70,0,2,3,5,0,9,0,6,2,4,4,3,0,0,38,0,278
329,All,23,59,228,0,2,0,2,0,4,0,8,2,6,8,3,0,0,35,0,310
671,All,67,13,8,0,1,3,4,0,1,0,0,0,0,2,3,0,0,14,0,88
777,All,40,2,58,1,4,4,0,1,4,0,3,1,5,2,8,0,0,33,0,100
911,All,0,1,69,0,0,1,0,0,4,0,1,0,2,1,0,0,0,9,0,70
927,All,29,5,100,1,0,1,0,0,6,0,2,1,8,3,7,0,0,29,0,134
14,Brawl,27,32,26,1,1,0,0,0,1,0,3,0,2,2,1,0,0,11,0,85
27,Brawl,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,27
48,Brawl,0,0,10,0,0,0,0,0,1,0,0,0,0,2,0,0,1,4,,10
77,Brawl,3,6,62,0,0,0,0,0,4,0,0,0,6,3,1,0,0,14,0,71
79,Brawl,43,0,3,0,0,5,0,0,0,0,0,0,0,0,1,0,0,6,0,46
86,Brawl,9,34,65,1,3,0,0,0,9,0,1,0,5,3,0,0,0,22,0,108
97,Brawl,0,0,44,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,44
187,Brawl,0,0,27,0,0,0,0,0,0,0,2,0,0,1,1,0,0,4,0,27
369,Brawl,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16
404,Brawl,22,16,30,0,0,0,0,0,3,0,1,0,1,2,4,0,0,11,0,68
454,Brawl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
548,Brawl,7,97,32,0,1,0,1,0,2,0,1,0,0,1,1,0,0,7,0,136
762,Brawl,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12
815,Brawl,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,17
1130,Brawl,0,0,39,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,39
2586,Brawl,0,0,32,0,0,0,0,0,1,0,1,0,1,3,1,0,0,7,0,32
3019,Brawl,15,4,21,0,0,0,0,0,0,0,2,0,0,0,4,0,0,6,0,40
