,#,Skater,JAMMER,PIVOT,BLOCKER,Team
0,11,Polly Pushy Pants,0.0,0.0,10.0,Alls
1,13,Surely Mental,3.0,0.0,3.0,Alls
2,23,Sintilly,0.0,14.0,7.0,Alls
3,124,Ka-Blamazon,0.0,0.0,16.0,Alls
4,31,Poptart,14.0,0.0,0.0,Alls
5,42,Virginia Slam,0.0,0.0,14.0,Alls
6,53,Punch Bug,14.0,0.0,3.0,Alls
7,57,Hines,0.0,1.0,18.0,Alls
8,64,A-Bomb,0.0,0.0,12.0,Alls
9,121,Jigglewatts,0.0,0.0,11.0,Alls
10,220,Electra Cal,3.0,20.0,0.0,Alls
11,329,Elita One,0.0,6.0,16.0,Alls
12,7,AKA Rogue,12.0,0.0,0.0,Alls
13,90,Acute Angle,0.0,1.0,16.0,Alls
14,911,Toxic Moxie,0.0,0.0,4.0,Alls
0,1130,Sass Machine,0.0,0.0,9.0,Brawls
1,121,Jigglewatts,0.0,0.0,18.0,Brawls
2,14,Sailor Zoom,2.0,0.0,3.0,Brawls
3,18,Stitches,0.0,0.0,13.0,Brawls
4,2586,Terror Masseuse,0.0,0.0,16.0,Brawls
5,27,Otter Chaos,0.0,0.0,4.0,Brawls
6,3019,Eowound of Roharm,0.0,0.0,4.0,Brawls
7,329,Elita One,5.0,8.0,11.0,Brawls
8,404,Ginja Ninja,6.0,8.0,6.0,Brawls
9,548,Groot Force,2.0,21.0,2.0,Brawls
10,671,Ruff Edges,12.0,0.0,2.0,Brawls
11,777,SMASH,5.0,1.0,10.0,Brawls
12,79,Ellen R.I.Pley,5.0,0.0,1.0,Brawls
13,86,Lil Red Right Hook,0.0,0.0,14.0,Brawls
14,927,Bella NoWay,5.0,1.0,7.0,Brawls
0,1130,Sass Machine,0.0,0.0,6.0,Brawls
1,121,Jigglewatts,0.0,3.0,17.0,Brawls
2,14,Sailor Zoom,4.0,0.0,2.0,Brawls
3,18,Stitches,0.0,0.0,16.0,Brawls
4,329,Elita One,4.0,19.0,3.0,Brawls
5,404,Ginja Ninja,0.0,0.0,18.0,Brawls
6,43,Rosie The Riveter,12.0,1.0,0.0,Brawls
7,53,Punch Bug,0.0,18.0,0.0,Brawls
8,548,Groot Force,0.0,0.0,18.0,Brawls
9,671,Ruff Edges,10.0,0.0,1.0,Brawls
10,777,SMASH,0.0,0.0,18.0,Brawls
11,79,Ellen R.I.Pley,5.0,0.0,1.0,Brawls
12,86,Lil Red Right Hook,0.0,0.0,16.0,Brawls
13,927,Bella NoWay,10.0,0.0,3.0,Brawls
14,97,Briggie Smalls,0.0,0.0,8.0,Brawls
0,1130,Sass Machine,0.0,0.0,9.0,Brawls
1,121,Jigglewatts,0.0,0.0,18.0,Brawls
2,14,Sailor Zoom,2.0,0.0,3.0,Brawls
3,18,Stitches,0.0,0.0,13.0,Brawls
4,2586,Terror Masseuse,0.0,0.0,16.0,Brawls
5,27,Otter Chaos,0.0,0.0,4.0,Brawls
6,3019,Eowound of Roharm,0.0,0.0,4.0,Brawls
7,329,Elita One,5.0,8.0,11.0,Brawls
8,404,Ginja Ninja,6.0,8.0,6.0,Brawls
9,548,Groot Force,2.0,21.0,2.0,Brawls
10,671,Ruff Edges,12.0,0.0,2.0,Brawls
11,777,SMASH,5.0,1.0,10.0,Brawls
12,79,Ellen R.I.Pley,5.0,0.0,1.0,Brawls
13,86,Lil Red Right Hook,0.0,0.0,14.0,Brawls
14,927,Bella NoWay,5.0,1.0,7.0,Brawls
0,121,Jigglewatts,0.0,19.0,3.0,Alls
1,124,Ka-Blamazon,0.0,0.0,24.0,Alls
2,13,Surely Mental,0.0,1.0,9.0,Alls
3,18,Stitches,0.0,0.0,8.0,Alls
4,220,Electra Cal,0.0,21.0,5.0,Alls
5,23,Sintilly,0.0,6.0,18.0,Alls
6,31,Poptart,11.0,0.0,2.0,Alls
7,329,Elita One,0.0,0.0,21.0,Alls
8,42,Virginia Slam,0.0,0.0,17.0,Alls
9,43,Rosie the Riveter,12.0,0.0,0.0,Alls
10,53,Punch Bug,13.0,0.0,0.0,Alls
11,57,Hines,0.0,0.0,23.0,Alls
12,64,A-Bomb,0.0,0.0,8.0,Alls
13,7,AKA Rogue,11.0,0.0,0.0,Alls
